# xyscan Version 4.3.0
# Date: Fri May 28 14:30:55 2021
# Scanned by: nthakkar
# Source: C:/Users/nthakkar/Dropbox (IDM)/projects/measles_parameters/_data/uk/fine_clarkson_1982.png
# Comment: 
# Format: x y -dx +dx -dy +dy
0	0	0	0	0	0
0.38806	0.0254491	0	0	0	0	
1.46269	0.0913174	0	0	0	0	
2.47761	0.172156	0	0	0	0	
3.49254	0.232036	0	0	0	0	
4.47761	0.32485	0	0	0	0	
5.58209	0.491018	0	0	0	0	
6.50746	0.582335	0	0	0	0	
7.52239	0.595808	0	0	0	0	
8.56716	0.60479	0	0	0	0	
9.58209	0.607784	0	0	0	0	
10.5672	0.610778	0	0	0	0	
11.6119	0.616766	0	0	0	0	
12.597	0.618263	0	0	0	0	
13.6119	0.618263	0	0	0	0	
14.6269	0.61976	0	0	0	0	
15.6418	0.621257	0	0	0	0	
16.5672	0.621257	0	0	0	0	
17.6716	0.622754	0	0	0	0	
18.597	0.624251	0	0	0	0	
19.6716	0.622754	0	0	0	0	
20.3761	0.622754	0	0	0	0	
# EoF
